Sl. No.,State/UT/City,Road Accidents - Cases,Road Accidents - Injured,Road Accidents - Died,Railway Accidents - Cases,Railway Accidents - Injured,Railway Accidents - Died,Railway Crossing Accidents - Cases,Railway Crossing Accidents - Injured,Railway Crossing Accidents - Died,Total Traffic Accidents - Cases,Total Traffic Accidents - Injured,Total Traffic Accidents - Died
63,Kollam,2083,2176,214,11,0,11,0,0,0,2094,2176,225
64,Kota,444,431,111,29,0,29,0,0,0,473,431,140
65,Kozhikode,2054,2163,195,7,0,7,13,1,13,2074,2164,215
66,Lucknow,1408,994,643,34,0,34,8,0,8,1450,994,685
67,Ludhiana,467,174,364,0,0,0,0,0,0,467,174,364
68,Madurai,744,601,192,0,0,0,0,0,0,744,601,192
69,Malappuram,870,1098,116,3,0,3,0,0,0,873,1098,119
70,Meerut,451,443,149,0,0,0,26,0,26,477,443,175
71,Mumbai,538,4,538,0,0,0,0,0,0,538,4,538
72,Nagpur,1181,987,335,54,0,55,0,0,0,1235,987,390
73,Nasik,190,49,201,24,0,24,0,0,0,214,49,225
74,Patna,275,121,198,0,0,0,0,0,0,275,121,198
75,Prayagraj +,1370,886,603,0,0,0,0,0,0,1370,886,603
76,Pune,387,107,343,17,0,17,0,0,0,404,107,360
77,Raipur,1021,575,186,33,0,33,0,0,0,1054,575,219
78,Rajkot,498,422,150,13,0,13,0,0,0,511,422,163
79,Ranchi,175,111,90,0,0,0,0,0,0,175,111,90
80,Srinagar,426,438,53,0,0,0,0,0,0,426,438,53
81,Surat,683,553,293,36,0,37,0,0,0,719,553,330
82,Thiruvananthapuram,1825,1910,171,0,0,0,18,0,18,1843,1910,189
83,Thrissur,2374,2711,210,0,0,0,0,0,0,2374,2711,210
84,Tiruchirappalli,542,624,149,0,0,0,0,0,0,542,624,149
85,Vadodara,478,378,181,5,0,5,0,0,0,483,378,186
86,Varanasi,133,86,145,29,0,29,0,0,0,162,86,174
87,Vasai Virar,342,213,165,0,0,0,0,0,0,342,213,165
88,Vijayawada,1543,1367,418,0,0,0,0,0,0,1543,1367,418
89,Vishakhapatnam,1352,1288,358,0,0,0,0,0,0,1352,1288,358
Total (Cities),Total (Cities),66402,57140,15967,1563,105,1442,271,1,271,68236,57246,17680
